,Date,Day,Season,Team,Opp,Site,P1,P2,P3,Final,Line,Total,SUm,SUr,OUr,ot
93,2021-01-19 00:00:00,Tuesday,2020,Blue Jackets,Red Wings,away,0-0,1-2,1-0,2-3,-172,5.5,-1.0,L,U,1.0
94,2021-01-19 00:00:00,Tuesday,2020,Senators,Jets,home,2-1,1-1,0-1,3-4,-110,6.0,-1.0,L,O,1.0
95,2021-01-19 00:00:00,Tuesday,2020,Jets,Senators,away,1-2,1-1,1-0,4-3,-110,6.0,1.0,W,O,1.0
96,2021-01-19 00:00:00,Tuesday,2020,Kings,Avalanche,home,0-1,0-2,2-0,2-3,210,6.0,-1.0,L,U,0.0
97,2021-01-19 00:00:00,Tuesday,2020,Avalanche,Kings,away,1-0,2-0,0-2,3-2,-238,6.0,1.0,W,U,0.0
98,2021-01-20 00:00:00,Wednesday,2020,Blues,Sharks,home,0-0,1-1,0-0,1-2,-185,6.0,-1.0,L,U,1.0
99,2021-01-20 00:00:00,Wednesday,2020,Sharks,Blues,away,0-0,1-1,0-0,2-1,165,6.0,1.0,W,U,1.0
100,2021-01-20 00:00:00,Wednesday,2020,Maple Leafs,Oilers,home,0-1,0-0,1-2,1-3,-150,6.5,-2.0,L,U,0.0
101,2021-01-20 00:00:00,Wednesday,2020,Oilers,Maple Leafs,away,1-0,0-0,2-1,3-1,130,6.5,2.0,W,U,0.0
102,2021-01-20 00:00:00,Wednesday,2020,Canucks,Canadiens,home,1-0,2-3,2-2,6-5,110,6.0,1.0,W,O,1.0
103,2021-01-20 00:00:00,Wednesday,2020,Canadiens,Canucks,away,0-1,3-2,2-2,5-6,-121,6.0,-1.0,L,O,1.0
104,2021-01-20 00:00:00,Wednesday,2020,Knights,Coyotes,home,2-0,1-1,2-1,5-2,-185,5.5,3.0,W,O,0.0
105,2021-01-20 00:00:00,Wednesday,2020,Coyotes,Knights,away,0-2,1-1,1-2,2-5,166,5.5,-3.0,L,O,0.0
106,2021-01-20 00:00:00,Wednesday,2020,Ducks,Wild,home,0-1,2-1,0-1,2-3,120,5.5,-1.0,L,U,0.0
107,2021-01-20 00:00:00,Wednesday,2020,Wild,Ducks,away,1-0,1-2,1-0,3-2,-140,5.5,1.0,W,U,0.0
108,2021-01-21 00:00:00,Thursday,2020,Bruins,Flyers,home,0-0,0-2,4-2,5-4,-145,5.5,1.0,W,O,1.0
109,2021-01-21 00:00:00,Thursday,2020,Flyers,Bruins,away,0-0,2-0,2-4,4-5,131,5.5,-1.0,L,O,1.0
110,2021-01-21 00:00:00,Thursday,2020,Islanders,Devils,home,2-0,0-1,2-0,4-1,-179,5.5,3.0,W,U,0.0
111,2021-01-21 00:00:00,Thursday,2020,Devils,Islanders,away,0-2,1-0,0-2,1-4,161,5.5,-3.0,L,U,0.0
112,2021-01-21 00:00:00,Thursday,2020,Blue Jackets,Lightning,home,1-0,0-2,1-0,2-3,140,5.5,-1.0,L,U,1.0
113,2021-01-21 00:00:00,Thursday,2020,Lightning,Blue Jackets,away,0-1,2-0,0-1,3-2,-161,5.5,1.0,W,U,1.0
114,2021-01-21 00:00:00,Thursday,2020,Senators,Jets,home,0-1,0-3,1-0,1-4,100,6.0,-3.0,L,U,0.0
115,2021-01-21 00:00:00,Thursday,2020,Jets,Senators,away,1-0,3-0,0-1,4-1,-120,6.0,3.0,W,U,0.0
116,2021-01-21 00:00:00,Thursday,2020,Canucks,Canadiens,home,2-2,0-4,1-1,3-7,130,6.5,-4.0,L,O,0.0
117,2021-01-21 00:00:00,Thursday,2020,Canadiens,Canucks,away,2-2,4-0,1-1,7-3,-149,6.5,4.0,W,O,0.0
118,2021-01-21 00:00:00,Thursday,2020,Kings,Avalanche,home,0-2,2-0,2-0,4-2,210,5.5,2.0,W,O,0.0
119,2021-01-21 00:00:00,Thursday,2020,Avalanche,Kings,away,2-0,0-2,0-2,2-4,-243,5.5,-2.0,L,O,0.0
120,2021-01-22 00:00:00,Friday,2020,Blackhawks,Red Wings,home,1-0,1-0,2-1,4-1,-130,6.0,3.0,W,U,0.0
121,2021-01-22 00:00:00,Friday,2020,Red Wings,Blackhawks,away,0-1,0-1,1-2,1-4,118,6.0,-3.0,L,U,0.0
122,2021-01-22 00:00:00,Friday,2020,Wild,Sharks,home,1-1,1-0,2-0,4-1,-160,6.0,3.0,W,U,0.0
123,2021-01-22 00:00:00,Friday,2020,Sharks,Wild,away,1-1,0-1,0-2,1-4,144,6.0,-3.0,L,U,0.0
124,2021-01-22 00:00:00,Friday,2020,Stars,Predators,home,0-0,5-0,2-0,7-0,-113,5.5,7.0,W,O,0.0
125,2021-01-22 00:00:00,Friday,2020,Predators,Stars,away,0-0,0-5,0-2,0-7,102,5.5,-7.0,L,O,0.0
126,2021-01-22 00:00:00,Friday,2020,Coyotes,Knights,home,1-0,2-1,2-1,5-2,155,5.5,3.0,W,O,0.0
127,2021-01-22 00:00:00,Friday,2020,Knights,Coyotes,away,0-1,1-2,1-2,2-5,-170,5.5,-3.0,L,O,0.0
128,2021-01-22 00:00:00,Friday,2020,Capitals,Sabres,home,1-1,2-2,0-0,4-3,-105,5.5,1.0,W,O,1.0
129,2021-01-22 00:00:00,Friday,2020,Sabres,Capitals,away,1-1,2-2,0-0,3-4,-105,5.5,-1.0,L,O,1.0
130,2021-01-22 00:00:00,Friday,2020,Penguins,Rangers,home,1-0,1-3,1-0,4-3,-145,6.5,1.0,W,O,1.0
131,2021-01-22 00:00:00,Friday,2020,Rangers,Penguins,away,0-1,3-1,0-1,3-4,131,6.5,-1.0,L,O,1.0
132,2021-01-22 00:00:00,Friday,2020,Maple Leafs,Oilers,home,0-0,2-1,2-1,4-2,-125,6.0,2.0,W,P,0.0
133,2021-01-22 00:00:00,Friday,2020,Oilers,Maple Leafs,away,0-0,1-2,1-2,2-4,115,6.0,-2.0,L,P,0.0
134,2021-01-22 00:00:00,Friday,2020,Ducks,Avalanche,home,0-1,1-0,1-1,2-3,165,5.5,-1.0,L,U,1.0
135,2021-01-22 00:00:00,Friday,2020,Avalanche,Ducks,away,1-0,0-1,1-1,3-2,-185,5.5,1.0,W,U,1.0
136,2021-01-23 00:00:00,Saturday,2020,Blues,Kings,home,1-0,2-2,1-0,4-2,-200,5.5,2.0,W,O,0.0
137,2021-01-23 00:00:00,Saturday,2020,Kings,Blues,away,0-1,2-2,0-1,2-4,180,5.5,-2.0,L,O,0.0
138,2021-01-23 00:00:00,Saturday,2020,Jets,Senators,home,1-0,1-3,4-0,6-3,-150,6.0,3.0,W,O,0.0
139,2021-01-23 00:00:00,Saturday,2020,Senators,Jets,away,0-1,3-1,0-4,3-6,136,6.0,-3.0,L,O,0.0
140,2021-01-23 00:00:00,Saturday,2020,Bruins,Flyers,home,1-0,2-1,3-0,6-1,-145,5.5,5.0,W,O,0.0
141,2021-01-23 00:00:00,Saturday,2020,Flyers,Bruins,away,0-1,1-2,0-3,1-6,131,5.5,-5.0,L,O,0.0
142,2021-01-23 00:00:00,Saturday,2020,Blue Jackets,Lightning,home,3-2,0-0,2-0,5-2,155,5.5,3.0,W,O,0.0
143,2021-01-23 00:00:00,Saturday,2020,Lightning,Blue Jackets,away,2-3,0-0,0-2,2-5,-172,5.5,-3.0,L,O,0.0
144,2021-01-23 00:00:00,Saturday,2020,Canucks,Canadiens,home,0-1,0-1,2-3,2-5,125,6.0,-3.0,L,O,0.0
145,2021-01-23 00:00:00,Saturday,2020,Canadiens,Canucks,away,1-0,1-0,3-2,5-2,-145,6.0,3.0,W,O,0.0
146,2021-01-24 00:00:00,Sunday,2020,Blues,Kings,home,1-2,0-3,2-1,3-6,-200,5.5,-3.0,L,O,0.0
147,2021-01-24 00:00:00,Sunday,2020,Kings,Blues,away,2-1,3-0,1-2,6-3,170,5.5,3.0,W,O,0.0
148,2021-01-24 00:00:00,Sunday,2020,Jets,Oilers,home,1-0,0-2,2-2,3-4,120,6.5,-1.0,L,O,0.0
149,2021-01-24 00:00:00,Sunday,2020,Oilers,Jets,away,0-1,2-0,2-2,4-3,-145,6.5,1.0,W,O,0.0
150,2021-01-24 00:00:00,Sunday,2020,Wild,Sharks,home,1-1,1-2,1-2,3-5,-145,5.5,-2.0,L,O,0.0
151,2021-01-24 00:00:00,Sunday,2020,Sharks,Wild,away,1-1,2-1,2-1,5-3,125,5.5,2.0,W,O,0.0
152,2021-01-24 00:00:00,Sunday,2020,Stars,Predators,home,1-0,1-1,1-1,3-2,-115,5.5,1.0,W,U,0.0
153,2021-01-24 00:00:00,Sunday,2020,Predators,Stars,away,0-1,1-1,1-1,2-3,104,5.5,-1.0,L,U,0.0
154,2021-01-24 00:00:00,Sunday,2020,Flames,Maple Leafs,home,0-1,1-1,1-1,2-3,100,6.0,-1.0,L,U,0.0
155,2021-01-24 00:00:00,Sunday,2020,Maple Leafs,Flames,away,1-0,1-1,1-1,3-2,-120,6.0,1.0,W,U,0.0
156,2021-01-24 00:00:00,Sunday,2020,Coyotes,Knights,home,0-0,0-0,0-1,0-1,155,5.5,-1.0,L,U,0.0
157,2021-01-24 00:00:00,Sunday,2020,Knights,Coyotes,away,0-0,0-0,1-0,1-0,-175,5.5,1.0,W,U,0.0
158,2021-01-24 00:00:00,Sunday,2020,Devils,Islanders,home,2-0,0-0,0-0,2-0,145,5.5,2.0,W,U,0.0
159,2021-01-24 00:00:00,Sunday,2020,Islanders,Devils,away,0-2,0-0,0-0,0-2,-161,5.5,-2.0,L,U,0.0
160,2021-01-24 00:00:00,Sunday,2020,Capitals,Sabres,home,1-0,1-2,1-1,3-4,105,6.0,-1.0,L,O,1.0
161,2021-01-24 00:00:00,Sunday,2020,Sabres,Capitals,away,0-1,2-1,1-1,4-3,-125,6.0,1.0,W,O,1.0
